District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Ba Dinh,21.0365377,105.8285908,Hotel de L'Opera,21.02457239,105.8557538,Hotel
Ba Dinh,21.0365377,105.8285908,Bánh Cuốn Thanh Trì Bà Hoành,21.01342011,105.8497082,Vietnamese Restaurant
Ba Dinh,21.0365377,105.8285908,L'Espace - Institut Français de Hanoï (Trung Tâm Văn Hóa Pháp tại Hà Nội),21.02466826,105.8558318,Cultural Center
Ba Dinh,21.0365377,105.8285908,An Cafe,21.02981,105.84776,Café
Ba Dinh,21.0365377,105.8285908,Meliã,21.024107,105.84907,Hotel
Ba Dinh,21.0365377,105.8285908,Pizza 4Ps 11B Bảo Khánh,21.03106,105.850146,Pizzeria
Ba Dinh,21.0365377,105.8285908,The Note Coffee,21.03158263,105.8511748,Coffee Shop
Ba Dinh,21.0365377,105.8285908,O'Gallery Premier Hotel & Spa,21.02967485,105.8458894,Hotel
Ba Dinh,21.0365377,105.8285908,Quan An Ngon 18 Phan Boi Chau,21.02640465,105.8434518,Vietnamese Restaurant
Ba Dinh,21.0365377,105.8285908,Phở Cuốn 31,21.04598598,105.8409496,Vietnamese Restaurant
Ba Dinh,21.0365377,105.8285908,The Lapis Hotel,21.01976967,105.8559334,Hotel
Ba Dinh,21.0365377,105.8285908,Cộng Càphê,21.03350388,105.8381893,Coffee Shop
Ba Dinh,21.0365377,105.8285908,Công Viên Cầu Giấy (Yên Hoà),21.02933885,105.7899118,Park
Ba Dinh,21.0365377,105.8285908,King Roti,21.03242085,105.8506454,Bakery
Ba Dinh,21.0365377,105.8285908,Joma Bakery Café,21.03446908,105.8141427,Café
Ba Dinh,21.0365377,105.8285908,The ann hotel,21.01584318,105.8578246,Hotel
Ba Dinh,21.0365377,105.8285908,Bún Chả Hương Liên,21.01793187,105.853913,Noodle Restaurant
Ba Dinh,21.0365377,105.8285908,Phở Sướng,21.033548,105.852135,Noodle Restaurant
Ba Dinh,21.0365377,105.8285908,Bún Chả Đắc Kim,21.03224144,105.84814,Noodle Restaurant
Ba Dinh,21.0365377,105.8285908,Đền Ngọc Sơn,21.03055064,105.8524582,Temple
Ba Dinh,21.0365377,105.8285908,Starbucks,21.06673531,105.8263386,Coffee Shop
